BPH - Kursy walut: Dla Klientów dawnego GE Money Banku (CHF)

Data	Kupno	Sprzedaż	Spread
2004-07-01	2.8724	3.0324	0.16
2004-07-02	2.8522	3.0122	0.16
2004-07-05	2.8711	3.0311	0.16
2004-07-06	2.8783	3.0383	0.16
2004-07-07	2.8797	3.0397	0.16
2004-07-08	2.8773	3.0373	0.16
2004-07-09	2.884	3.044	0.16
2004-07-12	2.8837	3.0437	0.16
2004-07-13	2.8683	3.0283	0.16
2004-07-14	2.8368	2.9968	0.16
2004-07-15	2.8284	2.9884	0.16
2004-07-16	2.8026	2.9626	0.16
2004-07-19	2.8035	2.9635	0.16
2004-07-20	2.7947	2.9547	0.16
2004-07-21	2.823	2.983	0.16
2004-07-22	2.8114	2.9714	0.16
2004-07-23	2.8065	2.9665	0.16
2004-07-26	2.8011	2.9611	0.16
2004-07-27	2.799	2.959	0.16
2004-07-28	2.7908	2.9508	0.16
2004-07-29	2.7765	2.9365	0.16
2004-07-30	2.7664	2.9264	0.16
2004-08-02	2.7404	2.8942	0.1538
2004-08-03	2.7552	2.909	0.1538
2004-08-04	2.7738	2.9276	0.1538
2004-08-05	2.7828	2.9366	0.1538
2004-08-06	2.7677	2.9215	0.1538
2004-08-09	2.7555	2.9093	0.1538
2004-08-10	2.7451	2.8989	0.1538
2004-08-11	2.7482	2.902	0.1538
2004-08-12	2.7763	2.9301	0.1538
2004-08-13	2.7683	2.9221	0.1538
2004-08-16	2.8016	2.9554	0.1538
2004-08-17	2.8018	2.9556	0.1538
2004-08-18	2.7853	2.9391	0.1538
2004-08-19	2.7941	2.9479	0.1538
2004-08-20	2.8086	2.9624	0.1538
2004-08-23	2.8111	2.9649	0.1538
2004-08-24	2.7947	2.9485	0.1538
2004-08-25	2.778	2.9318	0.1538
2004-08-26	2.7876	2.9414	0.1538
2004-08-27	2.7869	2.9407	0.1538
2004-08-30	2.8058	2.9596	0.1538
2004-08-31	2.7844	2.9382	0.1538
2004-09-01	2.8157	2.9723	0.1566
2004-09-02	2.8212	2.9778	0.1566
2004-09-03	2.8262	2.9828	0.1566
2004-09-06	2.8164	2.973	0.1566
2004-09-07	2.8105	2.9671	0.1566
2004-09-08	2.7892	2.9458	0.1566
2004-09-09	2.7953	2.9519	0.1566
2004-09-10	2.7849	2.9415	0.1566
2004-09-13	2.7873	2.9439	0.1566
2004-09-14	2.7853	2.9419	0.1566
2004-09-15	2.7751	2.9317	0.1566
2004-09-16	2.7568	2.9134	0.1566
2004-09-17	2.7498	2.9064	0.1566
2004-09-20	2.7474	2.904	0.1566
2004-09-21	2.7248	2.8814	0.1566
2004-09-22	2.7215	2.8781	0.1566
2004-09-23	2.7326	2.8892	0.1566
2004-09-24	2.7446	2.9012	0.1566
2004-09-27	2.7444	2.901	0.1566
2004-09-28	2.7388	2.8954	0.1566
2004-09-29	2.7458	2.9024	0.1566
2004-09-30	2.7364	2.893	0.1566
2004-10-01	2.7567	2.909	0.1523
2004-10-04	2.7621	2.9144	0.1523
2004-10-05	2.7327	2.885	0.1523
2004-10-06	2.7179	2.8702	0.1523
2004-10-07	2.7077	2.86	0.1523
2004-10-08	2.7207	2.873	0.1523
2004-10-11	2.731	2.8833	0.1523
2004-10-12	2.7183	2.8706	0.1523
2004-10-13	2.707	2.8593	0.1523
2004-10-14	2.719	2.8713	0.1523
2004-10-15	2.7146	2.8669	0.1523
2004-10-18	2.7296	2.8819	0.1523
2004-10-19	2.7204	2.8727	0.1523
2004-10-20	2.7206	2.8729	0.1523
2004-10-21	2.729	2.8813	0.1523
2004-10-22	2.7408	2.8931	0.1523
2004-10-25	2.7279	2.8802	0.1523
2004-10-26	2.7489	2.9012	0.1523
2004-10-27	2.7819	2.9342	0.1523
2004-10-28	2.7736	2.9259	0.1523
2004-10-29	2.7674	2.9197	0.1523
2004-11-01	2.7618	2.9094	0.1476
2004-11-02	2.7618	2.9094	0.1476
2004-11-03	2.7416	2.8892	0.1476
2004-11-04	2.7368	2.8844	0.1476
2004-11-05	2.7408	2.8884	0.1476
2004-11-08	2.7311	2.8787	0.1476
2004-11-09	2.7267	2.8743	0.1476
2004-11-10	2.7194	2.867	0.1476
2004-11-11	2.7211	2.8687	0.1476
2004-11-12	2.7211	2.8687	0.1476
2004-11-15	2.7436	2.8912	0.1476
2004-11-16	2.7329	2.8805	0.1476
2004-11-17	2.725	2.8726	0.1476
2004-11-18	2.7322	2.8798	0.1476
2004-11-19	2.7221	2.8697	0.1476
2004-11-22	2.7366	2.8842	0.1476
2004-11-23	2.7139	2.8615	0.1476
2004-11-24	2.702	2.8496	0.1476
2004-11-25	2.706	2.8536	0.1476
2004-11-26	2.7181	2.8657	0.1476
2004-11-29	2.713	2.8606	0.1476
2004-11-30	2.7088	2.8564	0.1476
2004-12-01	2.7086	2.8534	0.1448
2004-12-02	2.6816	2.8264	0.1448
2004-12-03	2.6563	2.8011	0.1448
2004-12-06	2.6618	2.8066	0.1448
2004-12-07	2.6553	2.8001	0.1448
2004-12-08	2.6571	2.8019	0.1448
2004-12-09	2.6543	2.7991	0.1448
2004-12-10	2.6432	2.788	0.1448
2004-12-13	2.6802	2.825	0.1448
2004-12-14	2.6619	2.8067	0.1448
2004-12-15	2.6507	2.7955	0.1448
2004-12-16	2.645	2.7898	0.1448
2004-12-17	2.6419	2.7867	0.1448
2004-12-20	2.6291	2.7739	0.1448
2004-12-21	2.6082	2.753	0.1448
2004-12-22	2.5917	2.7365	0.1448
2004-12-23	2.5834	2.7282	0.1448
2004-12-24	2.5679	2.7127	0.1448
2004-12-27	2.5663	2.7111	0.1448
2004-12-28	2.5622	2.707	0.1448
2004-12-29	2.5469	2.6917	0.1448
2004-12-30	2.5525	2.6973	0.1448
2004-12-31	2.5653	2.7101	0.1448
2005-01-03	2.5742	2.7143	0.1401
2005-01-04	2.5733	2.7134	0.1401
2005-01-05	2.5636	2.7037	0.1401
2005-01-06	2.5946	2.7347	0.1401
2005-01-07	2.5913	2.7314	0.1401
2005-01-10	2.5876	2.7277	0.1401
2005-01-11	2.5678	2.7079	0.1401
2005-01-12	2.5641	2.7042	0.1401
2005-01-13	2.5582	2.6983	0.1401
2005-01-14	2.5749	2.715	0.1401
2005-01-17	2.5579	2.698	0.1401
2005-01-18	2.5698	2.7099	0.1401
2005-01-19	2.5736	2.7137	0.1401
2005-01-20	2.5791	2.7192	0.1401
2005-01-21	2.5974	2.7375	0.1401
2005-01-24	2.5761	2.7162	0.1401
2005-01-25	2.5676	2.7077	0.1401
2005-01-26	2.5649	2.705	0.1401
2005-01-27	2.5605	2.7006	0.1401
2005-01-28	2.5584	2.6985	0.1401
2005-01-31	2.5616	2.7017	0.1401
2005-02-01	2.5261	2.6621	0.136
2005-02-02	2.5249	2.6609	0.136
2005-02-03	2.5269	2.6629	0.136
2005-02-04	2.4741	2.6101	0.136
2005-02-07	2.4697	2.6057	0.136
2005-02-08	2.4541	2.5901	0.136
2005-02-09	2.4574	2.5934	0.136
2005-02-10	2.4837	2.6197	0.136
2005-02-11	2.4823	2.6183	0.136
2005-02-14	2.5052	2.6412	0.136
2005-02-15	2.4987	2.6347	0.136
2005-02-16	2.4814	2.6174	0.136
2005-02-17	2.4825	2.6185	0.136
2005-02-18	2.4945	2.6305	0.136
2005-02-21	2.4937	2.6297	0.136
2005-02-22	2.4903	2.6263	0.136
2005-02-23	2.4886	2.6246	0.136
2005-02-24	2.4848	2.6208	0.136
2005-02-25	2.476	2.612	0.136
2005-02-28	2.4483	2.5843	0.136
2005-03-01	2.4853	2.6179	0.1326
2005-03-02	2.4851	2.6177	0.1326
2005-03-03	2.4847	2.6173	0.1326
2005-03-04	2.4842	2.6168	0.1326
2005-03-07	2.48	2.6126	0.1326
2005-03-08	2.4529	2.5855	0.1326
2005-03-09	2.4488	2.5814	0.1326
2005-03-10	2.449	2.5816	0.1326
2005-03-11	2.5042	2.6368	0.1326
2005-03-14	2.4972	2.6298	0.1326
2005-03-15	2.5118	2.6444	0.1326
2005-03-16	2.5253	2.6579	0.1326
2005-03-17	2.572	2.7046	0.1326
2005-03-18	2.6136	2.7462	0.1326
2005-03-21	2.5663	2.6989	0.1326
2005-03-22	2.5726	2.7052	0.1326
2005-03-23	2.5797	2.7123	0.1326
2005-03-24	2.5964	2.729	0.1326
2005-03-25	2.6014	2.734	0.1326
2005-03-28	2.5961	2.7287	0.1326
2005-03-29	2.5961	2.7287	0.1326
2005-03-30	2.6284	2.761	0.1326
2005-03-31	2.5996	2.7322	0.1326
2005-04-01	2.5485	2.686	0.1375
2005-04-04	2.5473	2.6848	0.1375
2005-04-05	2.5641	2.7016	0.1375
2005-04-06	2.5709	2.7084	0.1375
2005-04-07	2.563	2.7005	0.1375
2005-04-08	2.5619	2.6994	0.1375
2005-04-11	2.5619	2.6994	0.1375
2005-04-12	2.5607	2.6982	0.1375
2005-04-13	2.5535	2.691	0.1375
2005-04-14	2.5449	2.6824	0.1375
2005-04-15	2.5654	2.7029	0.1375
2005-04-18	2.5747	2.7122	0.1375
2005-04-19	2.6079	2.7454	0.1375
2005-04-20	2.6303	2.7678	0.1375
2005-04-21	2.6167	2.7542	0.1375
2005-04-22	2.6193	2.7568	0.1375
2005-04-25	2.6299	2.7674	0.1375
2005-04-26	2.6398	2.7773	0.1375
2005-04-27	2.6347	2.7722	0.1375
2005-04-28	2.6603	2.7978	0.1375
2005-04-29	2.6709	2.8084	0.1375
2005-05-02	2.7339	2.8853	0.1514
2005-05-03	2.728	2.8794	0.1514
2005-05-04	2.728	2.8794	0.1514
2005-05-05	2.699	2.8504	0.1514
2005-05-06	2.6581	2.8095	0.1514
2005-05-09	2.6347	2.7861	0.1514
2005-05-10	2.6143	2.7657	0.1514
2005-05-11	2.6435	2.7949	0.1514
2005-05-12	2.6625	2.8139	0.1514
2005-05-13	2.6399	2.7913	0.1514
2005-05-16	2.6601	2.8115	0.1514
2005-05-17	2.6764	2.8278	0.1514
2005-05-18	2.6838	2.8352	0.1514
2005-05-19	2.6807	2.8321	0.1514
2005-05-20	2.65	2.8014	0.1514
2005-05-23	2.6458	2.7972	0.1514
2005-05-24	2.6658	2.8172	0.1514
2005-05-25	2.6595	2.8109	0.1514
2005-05-26	2.6609	2.8123	0.1514
2005-05-27	2.6609	2.8123	0.1514
2005-05-30	2.6577	2.8091	0.1514
2005-05-31	2.6351	2.7865	0.1514
2005-06-01	2.5986	2.7388	0.1402
2005-06-02	2.6335	2.7737	0.1402
2005-06-03	2.6207	2.7609	0.1402
2005-06-06	2.6122	2.7524	0.1402
2005-06-07	2.5983	2.7385	0.1402
2005-06-08	2.5813	2.7215	0.1402
2005-06-09	2.5778	2.718	0.1402
2005-06-10	2.5609	2.7011	0.1402
2005-06-13	2.5517	2.6919	0.1402
2005-06-14	2.5513	2.6915	0.1402
2005-06-15	2.5606	2.7008	0.1402
2005-06-16	2.5475	2.6877	0.1402
2005-06-17	2.5551	2.6953	0.1402
2005-06-20	2.563	2.7032	0.1402
2005-06-21	2.5744	2.7146	0.1402
2005-06-22	2.5521	2.6923	0.1402
2005-06-23	2.5542	2.6944	0.1402
2005-06-24	2.5342	2.6744	0.1402
2005-06-27	2.5412	2.6814	0.1402
2005-06-28	2.5414	2.6816	0.1402
2005-06-29	2.5564	2.6966	0.1402
2005-06-30	2.551	2.6912	0.1402
2005-07-01	2.5234	2.6592	0.1358
2005-07-04	2.5119	2.6477	0.1358
2005-07-05	2.5075	2.6433	0.1358
2005-07-06	2.5089	2.6447	0.1358
2005-07-07	2.5252	2.661	0.1358
2005-07-08	2.5723	2.7081	0.1358
2005-07-11	2.5485	2.6843	0.1358
2005-07-12	2.5432	2.679	0.1358
2005-07-13	2.5564	2.6922	0.1358
2005-07-14	2.5687	2.7045	0.1358
2005-07-15	2.5825	2.7183	0.1358
2005-07-18	2.5828	2.7186	0.1358
2005-07-19	2.5618	2.6976	0.1358
