Data	Otwarcie	Max	Min	Zamkniêcie
2008-12-01	2.4916	2.5344	2.4817	2.5128
2008-12-02	2.5128	2.5365	2.4942	2.5083
2008-12-03	2.5083	2.5219	2.4911	2.5071
2008-12-04	2.5070	2.5426	2.4989	2.5328
2008-12-05	2.5327	2.5387	2.4882	2.4969
2008-12-07	2.4969	2.4969	2.4969	2.4969
2008-12-08	2.4969	2.5218	2.4717	2.4880
2008-12-09	2.4881	2.5283	2.4865	2.5186
2008-12-10	2.5186	2.5465	2.5061	2.5256
2008-12-11	2.5255	2.5485	2.4416	2.4634
2008-12-12	2.4634	2.5345	2.4628	2.5345
2008-12-15	2.5105	2.5379	2.5065	2.5065
2008-12-16	2.5109	2.6059	2.5104	2.5848
2008-12-17	2.5855	2.6685	2.5764	2.6591
2008-12-18	2.6591	2.7359	2.6519	2.6710
2008-12-19	2.6710	2.7013	2.6337	2.7013
2008-12-21	2.7002	2.7002	2.6643	2.6647
2008-12-22	2.6648	2.7217	2.6468	2.7126
2008-12-23	2.7128	2.7207	2.6788	2.7122
2008-12-24	2.7122	2.7573	2.7052	2.7573
2008-12-26	2.7338	2.7418	2.7144	2.7144
2008-12-28	2.7530	2.7542	2.7492	2.7508
2008-12-29	2.7508	2.8082	2.7219	2.7890
2008-12-30	2.7892	2.8202	2.7431	2.7995
2008-12-31	2.7993	2.8214	2.7576	2.7576
2009-01-01	2.7857	2.7878	2.7794	2.7853
2009-01-02	2.7853	2.8297	2.7727	2.8297
2009-01-04	2.7801	2.7958	2.7765	2.7922
2009-01-05	2.7921	2.7956	2.7052	2.7149
2009-01-06	2.7141	2.7390	2.6137	2.6387
2009-01-07	2.6386	2.6979	2.5863	2.6795
2009-01-08	2.6795	2.7369	2.6756	2.6999
2009-01-09	2.6998	2.7217	2.6747	2.6747
2009-01-11	2.6900	2.6987	2.6899	2.6964
2009-01-12	2.6964	2.8033	2.6848	2.7838
2009-01-13	2.7838	2.8303	2.7587	2.8111
2009-01-14	2.8110	2.8568	2.7762	2.8371
2009-01-15	2.8371	2.8946	2.8289	2.8424
2009-01-16	2.8426	2.9269	2.7888	2.9269
2009-01-18	2.8871	2.8877	2.8715	2.8733
2009-01-19	2.8735	2.9356	2.8440	2.9122
2009-01-20	2.9122	2.9662	2.9083	2.9500
2009-01-21	2.9503	2.9541	2.8643	2.8784
2009-01-22	2.8788	2.9415	2.8465	2.9145
2009-01-23	2.9145	2.9923	2.9139	2.9923
2009-01-26	2.9096	2.9475	2.8668	2.9335
2009-01-27	2.9336	2.9515	2.8576	2.9241
2009-01-28	2.9240	2.9304	2.8558	2.8719
2009-01-29	2.8719	2.9581	2.8621	2.9464
2009-01-30	2.9464	3.0140	2.9460	3.0140
2009-02-02	3.0129	3.0287	2.9733	3.0140
2009-02-03	3.0140	3.1435	2.9885	3.1238
2009-02-04	3.1237	3.1677	3.0884	3.1326
2009-02-05	3.1326	3.1450	3.0736	3.0798
