Data	Godzina	Kupno	Sprzeda¿	Kurs œredni NBP (FIXING)	W przeliczeniu 5000 USD*
2006-01-01		2.4215	2.5420	2.4788	6578
2006-01-02	08:49:59	2.4151	2.5360	2.4788	6578
2006-01-02	10:26:59	2.4426	2.5180	2.4788	6578
2006-01-02	16:12:59	2.4298	2.5508	2.4834	6560
2006-01-03	09:13:59	2.4265	2.5479	2.4834	6560
2006-01-03	10:29:59	2.4491	2.5247	2.4834	6560
2006-01-03	15:55:59	2.4143	2.5362	2.4868	6532
2006-01-04	08:57:59	2.4037	2.5270	2.4868	6532
2006-01-04	11:04:59	2.4331	2.5100	2.4868	6532
2006-01-04	15:55:59	2.4079	2.5321	2.4784	6427
2006-01-05	08:46:59	2.3949	2.5192	2.4784	6427
2006-01-05	10:30:59	2.4128	2.4900	2.4784	6427
2006-01-05	15:54:59	2.4000	2.5243	2.4552	6398
2006-01-06	08:48:59	2.4017	2.5259	2.4552	6398
2006-01-06	10:22:59	2.4282	2.5056	2.4552	6398
2006-01-06	16:00:59	2.4049	2.5300	2.4644	6392
2006-01-07		2.4049	2.5300	2.4644	6392
2006-01-08		2.4049	2.5300	2.4644	6392
2006-01-09	08:45:59	2.3917	2.5167	2.4644	6392
2006-01-09	10:31:59	2.4062	2.4837	2.4644	6392
2006-01-09	16:03:59	2.3771	2.5016	2.4474	6380
2006-01-10	08:48:59	2.3785	2.5027	2.4474	6380
2006-01-10	10:28:59	2.4092	2.4866	2.4474	6380
2006-01-10	15:57:59	2.3854	2.5094	2.4479	6389
2006-01-11	08:36:59	2.3883	2.5124	2.4479	6389
2006-01-11	10:31:59	2.4115	2.4885	2.4479	6389
2006-01-11	16:17:59	2.3780	2.5023	2.4420	6420
2006-01-12	09:05:59	2.3871	2.5118	2.4420	6420
2006-01-12	10:40:59	2.4192	2.4968	2.4420	6420
2006-01-12	16:12:59	2.3848	2.5084	2.4489	6376
2006-01-13	09:20:59	2.3996	2.5234	2.4489	6376
2006-01-13	10:43:59	2.4244	2.5015	2.4489	6376
2006-01-13	16:01:59	2.3963	2.5199	2.4607	6409
2006-01-14		2.3963	2.5199	2.4607	6409
2006-01-15		2.3963	2.5199	2.4607	6409
2006-01-16	09:00:59	2.3980	2.5225	2.4607	6409
