Data	Kupno	Sprzeda�	Spread
2006-01-01	2.4040	2.5530	0.1490
2006-01-02	2.4040	2.5530	0.1490
2006-01-03	2.4040	2.5530	0.1490
2006-01-04	2.4030	2.5520	0.1490
2006-01-05	2.4030	2.5520	0.1490
2006-01-06	2.4030	2.5520	0.1490
2006-01-07	2.3930	2.5410	0.1480
2006-01-08	2.3930	2.5410	0.1480
2006-01-09	2.3930	2.5410	0.1480
2006-01-10	2.3650	2.5120	0.1470
2006-01-11	2.3750	2.5220	0.1470
2006-01-12	2.3670	2.5130	0.1460
2006-01-13	2.3730	2.5200	0.1470
2006-01-14	2.3730	2.5200	0.1470
2006-01-15	2.3730	2.5200	0.1470
2006-01-16	2.3730	2.5200	0.1470
2006-01-17	2.3730	2.5200	0.1470
2006-01-18	2.4100	2.5590	0.1490
2006-01-19	2.4170	2.5660	0.1490
2006-01-20	2.4100	2.5590	0.1490
2006-01-21	2.4030	2.5520	0.1490
2006-01-22	2.4030	2.5520	0.1490
2006-01-23	2.4030	2.5520	0.1490
2006-01-24	2.4090	2.5590	0.1500
2006-01-25	2.4090	2.5590	0.1500
2006-01-26	2.4090	2.5590	0.1500
2006-01-27	2.3930	2.5410	0.1480
2006-01-28	2.3880	2.5350	0.1470
2006-01-29	2.3880	2.5350	0.1470
2006-01-30	2.3880	2.5350	0.1470
2006-01-31	2.3880	2.5350	0.1470
2006-02-01	2.3880	2.5350	0.1470
2006-02-02	2.3830	2.5310	0.1480
2006-02-03	2.3870	2.5340	0.1470
2006-02-04	2.3870	2.5340	0.1470
2006-02-05	2.3870	2.5340	0.1470
2006-02-06	2.3870	2.5340	0.1470
2006-02-07	2.3870	2.5340	0.1470
2006-02-08	2.3820	2.5300	0.1480
2006-02-09	2.3890	2.5370	0.1480
2006-02-10	2.3740	2.5210	0.1470
2006-02-11	2.3620	2.5080	0.1460
2006-02-12	2.3620	2.5080	0.1460
2006-02-13	2.3620	2.5080	0.1460
2006-02-14	2.3710	2.5170	0.1460
2006-02-15	2.3670	2.5130	0.1460
2006-02-16	2.3670	2.5130	0.1460
2006-02-17	2.3670	2.5130	0.1460
2006-02-18	2.3310	2.4760	0.1450
2006-02-19	2.3310	2.4760	0.1450
2006-02-20	2.3310	2.4760	0.1450
2006-02-21	2.3440	2.4890	0.1450
2006-02-22	2.3500	2.4950	0.1450
2006-02-23	2.3550	2.5010	0.1460
2006-02-24	2.3570	2.5030	0.1460
2006-02-25	2.3570	2.5030	0.1460
2006-02-26	2.3570	2.5030	0.1460
2006-02-27	2.3570	2.5030	0.1460
2006-02-28	2.3570	2.5030	0.1460
2006-03-01	2.3570	2.5030	0.1460
2006-03-02	2.3450	2.4900	0.1450
2006-03-03	2.3470	2.4920	0.1450
2006-03-04	2.3470	2.4920	0.1450
2006-03-05	2.3470	2.4920	0.1450
2006-03-06	2.3470	2.4920	0.1450
2006-03-07	2.3470	2.4920	0.1450
2006-03-08	2.3930	2.5410	0.1480
2006-03-09	2.4180	2.5680	0.1500
2006-03-10	2.4080	2.5570	0.1490
2006-03-11	2.4140	2.5630	0.1490
2006-03-12	2.4140	2.5630	0.1490
2006-03-13	2.4140	2.5630	0.1490
2006-03-14	2.4270	2.5770	0.1500
2006-03-15	2.4330	2.5840	0.1510
2006-03-16	2.4330	2.5840	0.1510
2006-03-17	2.4330	2.5840	0.1510
2006-03-18	2.3690	2.5160	0.1470
2006-03-19	2.3690	2.5160	0.1470
2006-03-20	2.3690	2.5160	0.1470
2006-03-21	2.3950	2.5430	0.1480
2006-03-22	2.3980	2.5470	0.1490
2006-03-23	2.4170	2.5670	0.1500
2006-03-24	2.3960	2.5440	0.1480
2006-03-25	2.3960	2.5440	0.1480
2006-03-26	2.3960	2.5440	0.1480
2006-03-27	2.3960	2.5440	0.1480
2006-03-28	2.3960	2.5440	0.1480
2006-03-29	2.4270	2.5770	0.1500
2006-03-30	2.4390	2.5900	0.1510
2006-03-31	2.4390	2.5900	0.1510
2006-04-01	2.4390	2.5900	0.1510
2006-04-02	2.4390	2.5900	0.1510
2006-04-03	2.4390	2.5900	0.1510
2006-04-04	2.4100	2.5590	0.1490
2006-04-05	2.4100	2.5590	0.1490
2006-04-06	2.4100	2.5590	0.1490
2006-04-07	2.4360	2.5870	0.1510
2006-04-08	2.4420	2.5930	0.1510
2006-04-09	2.4420	2.5930	0.1510
2006-04-10	2.4420	2.5930	0.1510
2006-04-11	2.4350	2.5860	0.1510
2006-04-12	2.4170	2.5660	0.1490
2006-04-13	2.4220	2.5720	0.1500
2006-04-14	2.4320	2.5830	0.1510
2006-04-15	2.4320	2.5830	0.1510
2006-04-16	2.4320	2.5830	0.1510
2006-04-17	2.4320	2.5830	0.1510
2006-04-18	2.4320	2.5830	0.1510
2006-04-19	2.4320	2.5830	0.1510
2006-04-20	2.4200	2.5700	0.1500
2006-04-21	2.3970	2.5460	0.1490
2006-04-22	2.3870	2.5350	0.1480
2006-04-23	2.3870	2.5350	0.1480
