Velobank: Kursy walut - KREDYTY (CHF)

* - Pobrano wszystkie dni - w tym soboty, niedziele i święta. 
    Datę 2019-08-23 traktować szczególnie bo nie działa (pokazuje różne wartości kursów po zmianie godziny na stronie)

Data*	Godzina	Kupno	Sprzedaż	Spread
2015-01-22	00:00:59	4.2618	4.5588	0.2970
2015-01-22	08:54:59	4.2618	4.4125	0.1507
2019-01-03	00:00:59	3.7896	3.9236	0.1340
2019-01-03	16:30:59	3.7861	3.9199	0.1338
2019-08-22	09:59:59	3.9744	4.1149	0.1405
2019-08-22	17:01:59	3.9538	4.0935	0.1397
2019-08-23	00:00:59	3.9538	4.0935	0.1397
2019-08-23	10:00:59	3.9538	4.0935	0.1397
2019-10-30	00:00:59	3.8247	3.9599	0.1352
2019-10-30	16:26:59	3.8281	3.9635	0.1354
2019-10-30	16:46:59	3.8247	3.9599	0.1352
