BNP Paribas: Kursy walut
TABELA KURSÓW WALUT BNP PARIBAS BANK POLSKA S.A. (CHF)
na potrzeby obsługi produktów innych, niż produkty objęte aneksami antyspreadowymi dla klientów detalicznych (konsumentów)

Bank: BGZ
Zmiana ciągłości kodu tabeli w liniach: 367, 878

Data	Nr tabeli Godzina	Bank	Kod tabeli	Kupno	Sprzedaż	Spread	Kurs średni
2013-04-15	145 09:16	bgz	10401	3,2777	3,5411	0,2634	3,3790
2013-04-15	146 16:15	bgz	10407	3,2778	3,5412	0,2634	3,3791
2013-04-16	147 08:45	bgz	10413	3,2786	3,5422	0,2636	3,3800
2013-04-16	148 16:15	bgz	10419	3,2813	3,5450	0,2637	3,3827
2013-04-17	149 08:45	bgz	10425	3,2760	3,5394	0,2634	3,3773
2013-04-17	150 16:15	bgz	10431	3,2870	3,5512	0,2642	3,3886
2013-04-18	151 08:45	bgz	10437	3,2837	3,5476	0,2639	3,3852
2013-04-18	152 16:15	bgz	10443	3,2818	3,5455	0,2637	3,3832
2013-04-19	153 08:45	bgz	10449	3,2764	3,5398	0,2634	3,3777
2013-04-19	154 16:15	bgz	10455	3,2706	3,5335	0,2629	3,3717
2013-04-22	155 08:45	bgz	10461	3,2646	3,5270	0,2624	3,3655
2013-04-22	156 16:15	bgz	10467	3,2710	3,5339	0,2629	3,3721
2013-04-23	157 08:45	bgz	10473	3,2682	3,5309	0,2627	3,3692
2013-04-23	158 16:15	bgz	10479	3,2830	3,5469	0,2639	3,3845
2013-04-24	159 08:45	bgz	10485	3,2665	3,5291	0,2626	3,3675
2013-04-24	160 16:15	bgz	10491	3,2670	3,5296	0,2626	3,3680
2013-04-25	161 08:45	bgz	10497	3,2660	3,5286	0,2626	3,3670
2013-04-25	162 16:15	bgz	10503	3,2666	3,5292	0,2626	3,3676
2013-04-26	163 08:45	bgz	10509	3,2788	3,5424	0,2636	3,3802
2013-04-26	164 16:15	bgz	10515	3,2864	3,5506	0,2642	3,3880
2013-04-29	165 08:45	bgz	10521	3,2811	3,5448	0,2637	3,3825
2013-04-29	166 16:15	bgz	10527	3,2706	3,5335	0,2629	3,3717
2013-04-30	167 08:45	bgz	10533	3,2762	3,5396	0,2634	3,3775
2013-04-30	168 16:15	bgz	10539	3,2908	3,5553	0,2645	3,3925
2013-05-02	169 08:45	bgz	10545	3,3057	3,5714	0,2657	3,4079
2013-05-02	170 16:15	bgz	10551	3,2883	3,5527	0,2644	3,3900
2013-05-06	171 08:45	bgz	10557	3,2705	3,5334	0,2629	3,3716
2013-05-06	172 16:15	bgz	10563	3,2814	3,5451	0,2637	3,3828
2013-05-07	173 08:45	bgz	10569	3,2850	3,5490	0,2640	3,3865
2013-05-07	174 16:15	bgz	10575	3,2615	3,5236	0,2621	3,3623
2013-05-08	175 08:45	bgz	10581	3,2686	3,5313	0,2627	3,3696
2013-05-08	176 16:15	bgz	10587	3,2572	3,5190	0,2618	3,3579
2013-05-09	177 08:45	bgz	10593	3,2592	3,5211	0,2619	3,3599
2013-05-09	178 16:15	bgz	10599	3,2481	3,5092	0,2611	3,3485
