BNP Paribas: Kursy walut
TABELA KURSÓW WALUT BNP PARIBAS BANK POLSKA S.A. (CHF)
na potrzeby obsługi produktów innych, niż produkty objęte aneksami antyspreadowymi dla klientów detalicznych (konsumentów)

Bank: BNP
Zmiana ciągłości kodu tabeli w liniach: 9332, 9341, 9431, 9819, 10862, 10965, 11036, 11266, 11335, 11338

Data	Nr tabeli Godzina	Bank	Kod tabeli	Kupno	Sprzedaż	Spread	Kurs średni
2001-02-14	1 12:40	bnp	1	2,4171	2,4770	0,0599	
2001-02-21	1 15:02	bnp	2	2,4301	2,4956	0,0655	
2001-02-27	1 15:15	bnp	3	2,3906	2,4674	0,0768	
2001-02-28	1 09:25	bnp	4	2,3946	2,4659	0,0713	
2001-02-28	2 13:45	bnp	5	2,3847	2,4553	0,0706	
2001-03-01	1 14:50	bnp	6	2,3791	2,4425	0,0634	
2001-03-02	1 08:00	bnp	7	2,3825	2,4467	0,0642	
2001-03-02	2 10:20	bnp	8	2,3833	2,4427	0,0594	
2001-03-02	3 16:00	bnp	9	2,3888	2,4582	0,0694	
2001-03-05	1 08:00	bnp	10	2,3749	2,4512	0,0763	
2001-03-05	2 09:25	bnp	11	2,3966	2,4654	0,0688	
2001-03-05	3 11:50	bnp	12	2,3886	2,4579	0,0693	
2001-03-05	4 15:20	bnp	13	2,3877	2,4669	0,0792	
2001-03-06	1 08:00	bnp	14	2,3697	2,4507	0,0810	
2001-03-06	2 15:35	bnp	15	2,3581	2,4387	0,0806	
2001-03-07	1 08:00	bnp	16	2,3735	2,4375	0,0640	
2001-03-07	2 11:40	bnp	17	2,3718	2,4302	0,0584	
2001-03-07	3 15:20	bnp	18	2,3654	2,4292	0,0638	
2001-03-08	1 08:00	bnp	19	2,3486	2,4289	0,0803	
2001-03-08	2 10:15	bnp	20	2,3612	2,4322	0,0710	
2001-03-08	3 10:45	bnp	21	2,3709	2,4422	0,0713	
2001-03-08	4 16:10	bnp	22	2,3692	2,4331	0,0639	
2001-03-09	1 08:00	bnp	23	2,3751	2,4391	0,0640	
2001-03-09	2 10:15	bnp	24	2,3661	2,4364	0,0703	
2001-03-09	3 14:50	bnp	25	2,3601	2,4407	0,0806	
2001-03-12	1 08:00	bnp	26	2,3723	2,4411	0,0688	
2001-03-12	2 10:10	bnp	27	2,3848	2,4434	0,0586	
2001-03-12	3 14:50	bnp	28	2,3731	2,4413	0,0682	
2001-03-13	1 08:00	bnp	29	2,3890	2,4583	0,0693	
2001-03-13	2 08:30	bnp	30	2,4047	2,4738	0,0691	
2001-03-13	3 09:10	bnp	31	2,4193	2,4895	0,0702	
2001-03-13	4 12:25	bnp	32	2,3916	2,4561	0,0645	
2001-03-13	5 16:00	bnp	33	2,4063	2,4761	0,0698	
2001-03-14	1 08:00	bnp	34	2,3937	2,4631	0,0694	
2001-03-14	2 09:45	bnp	35	2,3772	2,4364	0,0592	
2001-03-14	3 10:35	bnp	36	2,3831	2,4473	0,0642	
2001-03-14	4 13:35	bnp	37	2,4015	2,4663	0,0648	
2001-03-14	5 15:40	bnp	38	2,3969	2,4806	0,0837	
2001-03-15	1 08:00	bnp	39	2,3792	2,4433	0,0641	
2001-03-15	2 09:18	bnp	40	2,3838	2,4481	0,0643	
2001-03-15	3 12:45	bnp	41	2,3772	2,4413	0,0641	
2001-03-15	4 16:25	bnp	42	2,3639	2,4367	0,0728	
2001-03-16	1 08:00	bnp	43	2,3660	2,4347	0,0687	
2001-03-16	2 10:15	bnp	44	2,3613	2,4249	0,0636	
2001-03-16	3 14:15	bnp	45	2,3736	2,4368	0,0632	
2001-03-16	4 15:15	bnp	46	2,3802	2,4542	0,0740	
2001-03-19	1 08:00	bnp	47	2,3940	2,4634	0,0694	
2001-03-19	2 10:35	bnp	48	2,3915	2,4559	0,0644	
2001-03-19	3 13:45	bnp	49	2,3909	2,4546	0,0637	
2001-03-20	1 08:00	bnp	50	2,4033	2,4680	0,0647	
2001-03-20	2 08:35	bnp	51	2,3938	2,4580	0,0642	
2001-03-20	3 15:45	bnp	52	2,3744	2,4482	0,0738	
2001-03-21	1 08:00	bnp	53	2,3812	2,4453	0,0641	
2001-03-21	2 09:45	bnp	54	2,3840	2,4482	0,0642	
2001-03-21	3 10:40	bnp	55	2,3789	2,4430	0,0641	
2001-03-22	1 08:00	bnp	56	2,3708	2,4437	0,0729	
2001-03-22	2 10:10	bnp	57	2,3775	2,4408	0,0633	
2001-03-22	3 12:50	bnp	58	2,3820	2,4461	0,0641	
2001-03-22	4 16:40	bnp	59	2,3752	2,4391	0,0639	
2001-03-23	1 08:00	bnp	60	2,3867	2,4510	0,0643	
2001-03-23	2 08:57	bnp	61	2,3789	2,4423	0,0634	
2001-03-23	3 10:15	bnp	62	2,3714	2,4353	0,0639	
2001-03-26	1 08:00	bnp	63	2,3685	2,4316	0,0631	
2001-03-26	2 09:40	bnp	64	2,3646	2,4283	0,0637	
2001-03-27	1 08:00	bnp	65	2,3614	2,4250	0,0636	
2001-03-28	1 08:00	bnp	66	2,3637	2,4274	0,0637	
2001-03-28	2 11:40	bnp	67	2,3600	2,4236	0,0636	
2001-03-28	3 13:00	bnp	68	2,3510	2,4136	0,0626	
2001-03-28	4 13:25	bnp	69	2,3379	2,4057	0,0678	
2001-03-29	1 08:00	bnp	70	2,3458	2,4090	0,0632	
2001-03-29	2 10:15	bnp	71	2,3401	2,4025	0,0624	
2001-03-29	3 12:10	bnp	72	2,3385	2,4015	0,0630	
