PEKAO: Tabela kursowa Banku Pekao S.A. (CHF)

Dane powyciągne z poniższego linku iterując po parametrach 'date' oraz 'table':

https://www.pekao.com.pl/.currencies/file?type=TEXT&source=PEKAO&date=2020-01-20&table=1

Ten link jest tym samym, co kryje się pod przyciskiem 'POBIERZ TXT' na stronie internetowej
Zdarzają się jednak dni, kiedy na stronie nie ma widocznych żadnych kursów, ale link do pobrania pliku działa
Na przykład 2020-01-20 - na stronie kursów nie widać, chociaż pod linkiem są dostępne

* - Nr tabeli nie zawsze jest ciągły. Są dni z tabelami [2, 3] albo [1, 2, 4]

Data	Godzina	Nr tabeli*	Kupno	Sprzedaż	Spread
2005-01-03	07:00	1	2.5694	2.6876	0.1182
2005-01-17	07:15	1	2.5746	2.6932	0.1186
2005-01-19	07:10	1	2.585	2.704	0.119
2005-01-25	07:00	1	2.5683	2.6865	0.1182
2005-01-27	07:15	1	2.5763	2.6949	0.1186
2005-02-22	06:50	1	2.5309	2.6475	0.1166
2005-02-23	07:00	1	2.5164	2.6322	0.1158
2005-02-24	07:00	1	2.508	2.6234	0.1154
2005-03-01	07:00	1	2.4606	2.5738	0.1132
2005-03-02	07:10	1	2.4907	2.6053	0.1146
2005-03-03	14:40	2	2.4689	2.5825	0.1136
2005-03-18	07:00	1	2.5783	2.6969	0.1186
2005-03-22	07:10	1	2.5542	2.6718	0.1176
2005-03-29	07:00	1	2.6323	2.7535	0.1212
2005-03-30	07:20	1	2.614	2.7344	0.1204
2005-03-31	07:15	1	2.5674	2.6856	0.1182
2005-04-01	07:15	1	2.5745	2.6931	0.1186
2005-04-04	07:15	1	2.5963	2.7159	0.1196
2005-04-05	07:20	1	2.5792	2.698	0.1188
2005-04-06	07:30	1	2.6054	2.7254	0.1200
2005-04-07	14:30	2	2.582	2.7008	0.1188
2005-04-08	07:05	1	2.582	2.7008	0.1188
2005-04-11	07:10	1	2.5876	2.7068	0.1192
2005-04-12	07:10	1	2.585	2.704	0.119
2005-04-13	07:05	1	2.5861	2.7051	0.1190
2005-04-14	15:00	2	2.582	2.7044	0.1224
2005-04-15	07:00	1	2.5757	2.6978	0.1221
2005-04-15	09:20	2	2.5961	2.7184	0.1223
2005-04-19	07:00	1	2.6333	2.7588	0.1255
2005-04-22	09:10	2	2.6484	2.7737	0.1253
2005-04-28	07:00	1	2.6694	2.7955	0.1261
2005-04-28	11:40	2	2.6853	2.8123	0.1270
2005-04-29	07:00	1	2.7181	2.8466	0.1285
2005-05-02	07:00	1	2.7084	2.8361	0.1277
2005-05-05	07:00	1	2.6437	2.7686	0.1249
2005-05-09	07:00	1	2.6015	2.7244	0.1229
2005-05-10	07:00	1	2.5944	2.7177	0.1233
2005-05-12	07:00	1	2.629	2.7536	0.1246
2005-05-17	07:00	1	2.6576	2.783	0.1254
2005-05-20	07:00	1	2.6159	2.7393	0.1234
2005-05-23	07:00	1	2.6259	2.7503	0.1244
2005-05-23	10:10	2	2.6517	2.777	0.1253
2005-05-27	07:00	1	2.6302	2.7566	0.1264
2005-05-30	07:00	1	2.6121	2.7366	0.1245
2005-05-31	07:00	1	2.6146	2.7384	0.1238
2005-06-01	07:00	1	2.6121	2.7357	0.1236
2005-06-01	09:00	2	2.6412	2.766	0.1248
2005-06-02	07:00	1	2.6448	2.7695	0.1247
2005-06-03	07:00	1	2.6256	2.7495	0.1239
2005-06-06	07:00	1	2.6129	2.7362	0.1233
2005-06-07	07:00	1	2.6006	2.7246	0.1240
2005-06-08	07:00	1	2.585	2.7071	0.1221
2005-06-09	07:00	1	2.58	2.7016	0.1216
2005-06-10	07:00	1	2.5609	2.6825	0.1216
2005-06-13	07:00	1	2.5585	2.6804	0.1219
2005-06-14	07:00	1	2.5617	2.6827	0.1210
2005-06-15	07:00	1	2.5632	2.6842	0.1210
2005-06-16	07:00	1	2.5631	2.6846	0.1215
2005-06-17	07:00	1	2.5561	2.6778	0.1217
2005-06-20	07:00	1	2.5536	2.6747	0.1211
2005-06-21	07:00	1	2.5658	2.6874	0.1216
2005-06-22	07:00	1	2.5654	2.6867	0.1213
2005-06-23	07:00	1	2.5537	2.6745	0.1208
2005-06-24	07:00	1	2.5419	2.6621	0.1202
2005-06-27	07:00	1	2.5412	2.6612	0.1200
2005-06-28	07:00	1	2.5666	2.6878	0.1212
2005-06-29	07:00	1	2.5666	2.6878	0.1212
2005-06-30	07:00	1	2.5666	2.6878	0.1212
2005-06-30	08:50	2	2.5417	2.6622	0.1205
2005-07-01	07:00	1	2.5401	2.6605	0.1204
2005-07-04	07:00	1	2.524	2.6437	0.1197
2005-07-04	08:50	2	2.5297	2.6495	0.1198
2005-07-05	07:00	1	2.52	2.6397	0.1197
2005-07-06	07:00	1	2.5264	2.6458	0.1194
2005-07-06	15:45	2	2.5499	2.6705	0.1206
2005-07-07	07:00	1	2.5461	2.6677	0.1216
2005-07-08	07:00	1	2.5731	2.6947	0.1216
2005-07-11	07:00	1	2.5479	2.6684	0.1205
2005-07-12	07:00	1	2.5693	2.6907	0.1214
2005-07-13	07:00	1	2.5683	2.6907	0.1224
2005-07-14	07:00	1	2.598	2.7206	0.1226
2005-07-15	07:00	1	2.5876	2.7099	0.1223
2005-07-18	07:00	1	2.5794	2.7012	0.1218
2005-07-19	07:00	1	2.5668	2.6885	0.1217
2005-07-20	07:00	1	2.5668	2.6885	0.1217
2005-07-21	07:00	1	2.582	2.7043	0.1223
2005-07-22	07:00	1	2.5625	2.6837	0.1212
2005-07-25	07:00	1	2.5678	2.6892	0.1214
2005-07-26	07:00	1	2.5593	2.6799	0.1206
2005-07-27	07:00	1	2.5677	2.689	0.1213
2005-07-28	07:00	1	2.5606	2.6814	0.1208
2005-07-29	07:00	1	2.5517	2.6726	0.1209
2005-08-01	07:00	1	2.5428	2.6629	0.1201
2005-08-02	07:00	1	2.5345	2.6562	0.1217
2005-08-03	07:00	1	2.5419	2.662	0.1201
2005-08-04	07:00	1	2.5525	2.6733	0.1208
2005-08-05	07:00	1	2.5459	2.6667	0.1208
2005-08-08	07:00	1	2.5362	2.6571	0.1209
2005-08-09	07:00	1	2.5312	2.6517	0.1205
2005-08-10	07:00	1	2.5315	2.6511	0.1196
2005-08-11	07:00	1	2.5249	2.6443	0.1194
2005-08-12	07:00	1	2.5289	2.6484	0.1195
2005-08-16	07:00	1	2.5381	2.6581	0.1200
2005-08-17	07:00	1	2.5102	2.6289	0.1187
2005-08-18	07:00	1	2.5297	2.6495	0.1198
2005-08-19	07:00	1	2.5264	2.6461	0.1197
2005-08-22	07:00	1	2.5406	2.6609	0.1203
2005-08-23	07:00	1	2.5313	2.651	0.1197
2005-08-24	07:00	1	2.5211	2.6402	0.1191
2005-08-25	07:00	1	2.5275	2.6475	0.1200
2005-08-26	07:00	1	2.5492	2.671	0.1218
2005-08-29	07:00	1	2.5568	2.6777	0.1209
2005-08-30	07:00	1	2.5535	2.6742	0.1207
2005-08-31	07:00	1	2.5451	2.6654	0.1203
2005-09-01	07:00	1	2.5297	2.6492	0.1195
2005-09-01	11:00	2	2.5194	2.6385	0.1191
2005-09-02	07:00	1	2.5171	2.6361	0.1190
2005-09-05	07:00	1	2.5139	2.6328	0.1189
2005-09-06	07:00	1	2.4771	2.6073	0.1302
2005-09-07	07:00	1	2.4792	2.6099	0.1307
2005-09-08	07:00	1	2.4811	2.5985	0.1174
2005-09-09	07:00	1	2.4789	2.5969	0.1180
