Millenium: Tabela Kursów Walut Obcych Banku Millennium S.A. (CHF)
* - Dewizy
** - Dewizy (produkty kredytowe firm):
        kursy wymiany walut obcych w złotych dla transakcji kredytowych zawartych z przedsiębiorcami:
            kredyty (poza kredytem w rachunku bieżącym), gwarancje bankowe, akredytywy dokumentowe, faktoring.
*** - Kurs waluty CHF do obsługi kredytów hipotecznych udzielonych we franku szwajcarskim przez Bank Millennium (CHH)

Data	Godzina	Dewizy Kupno*	Dewizy Sprzedaż*	Pieniądze Kupno	Pieniądze Sprzedaż	Dewizy Kupno**	Dewizy Sprzedaż**		Dewizy Kupno***	Dewizy Sprzedaż***
2007-06-26	07:59	2.2404	2.3414	2.2266	2.3643	0	0		-	-
2007-06-26	12:01	2.2404	2.3414	2.2266	2.3643	0	0		-	-
2007-06-27	09:07	2.2473	2.3486	2.2335	2.3716	0	0		-	-
2007-06-27	13:05	2.2473	2.3486	2.2335	2.3716	0	0		-	-
2007-06-28	08:15	2.2306	2.3312	2.2169	2.354	0	0		-	-
2007-06-28	13:02	2.2306	2.3312	2.2169	2.354	0	0		-	-
2007-06-29	08:16	2.2191	2.3192	2.2055	2.3419	0	0		-	-
2007-06-29	12:12	2.2191	2.3192	2.2055	2.3419	0	0		-	-
2007-07-02	08:03	2.2238	2.3241	2.2102	2.3469	0	0		-	-
2007-07-02	11:58	2.2238	2.3241	2.2102	2.3469	0	0		-	-
2007-07-03	08:20	2.2182	2.3182	2.2045	2.3409	0	0		-	-
2007-07-03	11:59	2.2182	2.3182	2.2045	2.3409	0	0		-	-
2007-07-04	08:49	2.2195	2.3196	2.2059	2.3423	0	0		-	-
2007-07-04	12:56	2.2195	2.3196	2.2059	2.3423	0	0		-	-
2007-07-04	17:04	2.2113	2.311	2.1977	2.3337	0	0		-	-
2007-07-05	07:57	2.2149	2.3148	2.2013	2.3374	0	0		-	-
2007-07-05	12:00	2.2149	2.3148	2.2013	2.3374	0	0		-	-
2007-07-06	08:09	2.2221	2.3223	2.2084	2.345	0	0		-	-
2007-07-06	12:48	2.2221	2.3223	2.2084	2.345	0	0		-	-
2007-07-09	08:10	2.2108	2.3105	2.1972	2.3331	0	0		-	-
2007-07-09	12:00	2.2108	2.3105	2.1972	2.3331	0	0		-	-
2007-07-10	08:01	2.2211	2.3213	2.2075	2.344	0	0		-	-
2007-07-10	12:17	2.2211	2.3213	2.2075	2.344	0	0		-	-
2007-07-11	08:29	2.2284	2.3289	2.2147	2.3517	0	0		-	-
2007-07-11	12:44	2.2284	2.3289	2.2147	2.3517	0	0		-	-
2007-07-12	08:10	2.2073	2.3069	2.1938	2.3295	0	0		-	-
2007-07-12	12:28	2.2144	2.3142	2.2008	2.3369	0	0		-	-
2007-07-12	14:04	2.2144	2.3142	2.2008	2.3369	0	0		-	-
2007-07-13	08:04	2.2059	2.3053	2.1923	2.3279	0	0		-	-
2007-07-13	12:09	2.2059	2.3053	2.1923	2.3279	0	0		-	-
2007-07-16	08:14	2.2131	2.3129	2.1995	2.3356	0	0		-	-
2007-07-16	12:47	2.2131	2.3129	2.1995	2.3356	0	0		-	-
2007-07-17	08:13	2.2084	2.308	2.1948	2.3306	0	0		-	-
2007-07-17	12:35	2.2084	2.308	2.1948	2.3306	0	0		-	-
2007-07-18	08:21	2.212	2.3117	2.1984	2.3343	0	0		-	-
2007-07-18	14:11	2.212	2.3117	2.1984	2.3343	0	0		-	-
2007-07-19	08:11	2.2108	2.3104	2.1972	2.3331	0	0		-	-
2007-07-19	16:29	2.2108	2.3104	2.1972	2.3331	0	0		-	-
2007-07-20	08:07	2.2047	2.304	2.1911	2.3266	0	0		-	-
2007-07-20	11:54	2.2047	2.304	2.1911	2.3266	0	0		-	-
2007-07-23	08:09	2.2152	2.3151	2.2016	2.3378	0	0		-	-
2007-07-23	17:13	2.2152	2.3151	2.2016	2.3378	0	0		-	-
2007-07-24	08:35	2.2055	2.305	2.192	2.3276	0	0		-	-
2007-07-24	16:32	2.2055	2.305	2.192	2.3276	0	0		-	-
2007-07-25	08:32	2.2205	2.3206	2.2068	2.3433	0	0		-	-
2007-07-25	16:22	2.2205	2.3206	2.2068	2.3433	0	0		-	-
2007-07-26	07:58	2.2219	2.322	2.2082	2.3448	0	0		-	-
2007-07-26	18:05	2.2219	2.322	2.2082	2.3448	0	0		-	-
2007-07-27	08:30	2.2574	2.3592	2.2435	2.3823	0	0		-	-
2007-07-30	09:46	2.2533	2.3549	2.2395	2.378	0	0		-	-
2007-07-30	09:58	2.2533	2.3549	2.2395	2.378	0	0		-	-
2007-07-30	15:36	2.2533	2.3549	2.2395	2.378	0	0		-	-
2007-07-30	15:38	2.2533	2.3549	2.2395	2.378	0	0		-	-
2007-07-31	08:18	2.243	2.3441	2.2292	2.367	0	0		-	-
2007-07-31	13:44	2.243	2.3441	2.2292	2.367	0	0		-	-
2007-08-01	08:02	2.2715	2.3739	2.2575	2.3971	0	0		-	-
2007-08-01	15:03	2.2715	2.3739	2.2575	2.3971	0	0		-	-
2007-08-02	08:17	2.2521	2.3537	2.2383	2.3767	0	0		-	-
2007-08-02	16:55	2.2521	2.3537	2.2383	2.3767	0	0		-	-
2007-08-03	08:11	2.242	2.343	2.2282	2.366	0	0		-	-
2007-08-03	17:43	2.242	2.343	2.2282	2.366	0	0		-	-
2007-08-06	08:17	2.2592	2.3611	2.2453	2.3842	0	0		-	-
2007-08-06	13:39	2.2592	2.3611	2.2453	2.3842	0	0		-	-
2007-08-07	07:53	2.2507	2.3522	2.2369	2.3753	0	0		-	-
2007-08-07	18:50	2.2507	2.3522	2.2369	2.3753	0	0		-	-
2007-08-08	07:56	2.2433	2.3444	2.2295	2.3674	0	0		-	-
2007-08-08	12:05	2.2433	2.3444	2.2295	2.3674	0	0		-	-
2007-08-09	08:10	2.2275	2.3279	2.2138	2.3507	0	0		-	-
2007-08-09	13:18	2.2275	2.3279	2.2138	2.3507	0	0		-	-
2007-08-09	15:18	2.2546	2.3563	2.2408	2.3794	0	0		-	-
2007-08-09	16:11	2.2505	2.3519	2.2366	2.375	0	0		-	-
2007-08-10	08:02	2.2576	2.3594	2.2437	2.3825	0	0		-	-
2007-08-10	13:11	2.2576	2.3594	2.2437	2.3825	0	0		-	-
2007-08-13	08:19	2.2426	2.3437	2.2288	2.3667	0	0		-	-
2007-08-13	12:13	2.2426	2.3437	2.2288	2.3667	0	0		-	-
2007-08-14	08:08	2.2502	2.3516	2.2364	2.3747	0	0		-	-
2007-08-14	13:15	2.2502	2.3516	2.2364	2.3747	0	0		-	-
2007-08-16	08:54	2.2884	2.3916	2.2744	2.4151	0	0		-	-
2007-08-16	13:12	2.2884	2.3916	2.2744	2.4151	0	0		-	-
2007-08-17	08:08	2.2995	2.4032	2.2854	2.4267	0	0		-	-
2007-08-17	12:59	2.2995	2.4032	2.2854	2.4267	0	0		-	-
2007-08-17	15:53	2.291	2.3943	2.277	2.4178	0	0		-	-
2007-08-20	07:54	2.2922	2.3955	2.2781	2.419	0	0		-	-
2007-08-20	13:54	2.2922	2.3955	2.2781	2.419	0	0		-	-
2007-08-21	08:13	2.3086	2.4126	2.2944	2.4363	0	0		-	-
2007-08-21	12:12	2.3086	2.4126	2.2944	2.4363	0	0		-	-
2007-08-22	07:57	2.3121	2.4163	2.2979	2.44	0	0		-	-
2007-08-22	13:30	2.3121	2.4163	2.2979	2.44	0	0		-	-
2007-08-23	08:00	2.2859	2.3889	2.2718	2.4124	0	0		-	-
2007-08-23	13:18	2.2859	2.3889	2.2718	2.4124	0	0		-	-
2007-08-24	08:12	2.2913	2.3946	2.2772	2.4181	0	0		-	-
2007-08-24	12:24	2.2913	2.3946	2.2772	2.4181	0	0		-	-
2007-08-24	12:25	2.2913	2.3946	2.2772	2.4181	0	0		-	-
2007-08-27	08:03	2.2785	2.3812	2.2645	2.4046	0	0		-	-
2007-08-27	12:57	2.2785	2.3812	2.2645	2.4046	0	0		-	-
2007-08-28	08:10	2.281	2.3838	2.267	2.4072	0	0		-	-
2007-08-28	12:59	2.281	2.3838	2.267	2.4072	0	0		-	-
2007-08-29	07:48	2.292	2.3953	2.2779	2.4188	0	0		-	-
2007-08-29	12:42	2.292	2.3953	2.2779	2.4188	0	0		-	-
2007-08-29	12:45	2.2915	2.3948	2.2774	2.4183	0	0		-	-
2007-08-30	07:58	2.2822	2.385	2.2681	2.4084	0	0		-	-
2007-08-30	12:24	2.2822	2.385	2.2681	2.4084	0	0		-	-
