date	hour	foreignExchangeBuy	foreignExchangeSale	moneyBuy	moneySale
2007-06-26	12:01	2.2404	2.3414	2.2266	2.3643	
2007-06-26	07:59	2.2404	2.3414	2.2266	2.3643	
2007-07-15
2007-07-16	12:47	2.2131	2.3129	2.1995	2.3356	
2007-07-16	08:14	2.2131	2.3129	2.1995	2.3356	
2007-08-15
2007-09-15
2007-10-15	12:23	2.1621	2.2596	2.1488	2.2817	
2007-10-15	08:11	2.1621	2.2596	2.1488	2.2817	
2007-11-15	13:25	2.1775	2.2756	2.1641	2.2979	
2007-11-15	11:50	2.1775	2.2756	2.1641	2.2979	
2007-11-15	08:17	2.1594	2.2568	2.1461	2.2789	
2007-12-15
2008-01-15	12:58	2.1511	2.2481	2.1379	2.2701	
2008-01-15	07:57	2.1511	2.2481	2.1379	2.2701	
2008-01-30	15:02	2.1897	2.2953	2.1795	2.3144	
2008-01-30	08:11	2.1897	2.2953	2.1795	2.3144	
2008-02-15	13:03	2.1756	2.2805	2.1656	2.2995	
2008-02-15	08:05	2.1756	2.2805	2.1656	2.2995	
2008-03-15
2008-04-15	08:22	2.0975	2.1986	2.0878	2.2169	
2008-04-15	13:55	2.0975	2.1986	2.0878	2.2169	
2008-05-15	08:17	2.0263	2.124	2.017	2.1417	
2008-05-15	14:40	2.0263	2.124	2.017	2.1417	
2008-06-16	13:40	2.0475	2.1462	2.038	2.1641	
2008-06-16	08:17	2.0475	2.1462	2.038	2.1641	
2008-07-15	15:17	1.9626	2.0573	1.9536	2.0744	
2008-07-15	08:11	1.9626	2.0573	1.9536	2.0744	
2008-04-08	14:18	2.1218	2.2242	2.112	2.2427	
2008-04-08	08:03	2.1218	2.2242	2.112	2.2427	
2008-08-18	12:27	2.0132	2.1103	2.0039	2.1278	
2008-08-18	07:50	2.0132	2.1103	2.0039	2.1278	
2008-09-15	08:01	2.0432	2.1461	2.0369	2.1629	
2008-09-15	11:49	2.0611	2.1649	2.0548	2.1819	
2008-09-15	09:49	2.0351	2.1376	2.0288	2.1543	
2008-09-15	13:13	2.0611	2.1649	2.0548	2.1819	
2008-10-15	09:15	2.2011	2.326	2.192	2.351	
2008-10-15	12:57	2.2011	2.326	2.192	2.351	
2008-10-15	08:14	2.178	2.3016	2.169	2.3263	
2008-11-17	15:13	2.4166	2.5713	2.4067	2.5812	
2008-11-17	08:16	2.3822	2.5346	2.3724	2.5444	
2008-11-17	13:09	2.3822	2.5346	2.3724	2.5444	
