BNP Paribas: ŻÓŁTE KURSY WALUT
Tabela kursów walut dotyczy Klientów w ramach działalności przejętej przez BNP Paribas Bank Polska S.A. w wyniku podziału podmiotu o numerze KRS 14540

KURSY WALUT DLA UMÓW HIPOTECZNYCH - NUMERY ZACZYNAJĄCE SIĘ OD MG I HL

* - Pole dodatkowe (niewidoczne w przeglądarce). Poprawne od 2010-07-07
Dane prawie identyczne jak w tabeli kursów walut (bnpparibas-zolte-kursy-walut.txt)
Z tą różnicą że jest tylko jedno notowanie danego dnia (pierwsze w danym dniu)


Data	Godzina	ID	Kupno	Sprzedaż	Spread	Kurs średni*
2000-03-23	09:12:00	174325	2.4094	2.4270	0.0176	0.0000
2000-07-21	13:56:00	174331	2.4094	2.4270	0.0176	0.0000
2000-08-25	21:51:00	174332	2.4094	2.4270	0.0176	0.0000
2000-09-06	10:20:00	174335	2.4094	2.4270	0.0176	0.0000
2000-09-07	08:21:00	174336	2.4094	2.4270	0.0176	0.0000
2000-09-08	08:25:00	174337	2.4094	2.4270	0.0176	0.0000
2000-09-11	08:20:00	174338	2.4094	2.4270	0.0176	0.0000
2000-09-12	09:02:00	174339	2.4094	2.4270	0.0176	0.0000
2000-09-13	09:38:00	174340	2.4094	2.4270	0.0176	0.0000
2000-09-14	08:44:00	174341	2.4094	2.4270	0.0176	0.0000
2000-09-15	09:05:00	174342	2.4094	2.4270	0.0176	0.0000
2000-09-18	09:18:00	174343	2.4094	2.4270	0.0176	0.0000
2000-09-19	09:37:00	174344	2.4094	2.4270	0.0176	0.0000
2000-09-20	08:29:00	174345	2.4094	2.4270	0.0176	0.0000
2000-09-21	08:31:00	174346	2.4094	2.4270	0.0176	0.0000
2000-09-22	08:30:00	174347	2.4094	2.4270	0.0176	0.0000
2000-09-25	08:11:00	174348	2.4094	2.4270	0.0176	0.0000
2000-09-26	11:39:00	174349	2.4094	2.4270	0.0176	0.0000
2000-09-27	08:16:00	174350	2.4094	2.4270	0.0176	0.0000
2000-09-28	08:41:00	174351	2.4094	2.4270	0.0176	0.0000
2000-09-29	08:36:00	174352	2.4094	2.4270	0.0176	0.0000
2000-10-02	08:36:00	174353	2.4094	2.4270	0.0176	0.0000
2000-10-03	08:24:00	174354	2.4094	2.4270	0.0176	0.0000
2000-10-04	08:20:00	174355	2.4094	2.4270	0.0176	0.0000
2000-10-05	08:41:00	174356	2.4094	2.4270	0.0176	0.0000
2000-10-06	08:20:00	174357	2.4094	2.4270	0.0176	0.0000
2000-10-09	09:02:00	174358	2.4094	2.4270	0.0176	0.0000
2000-10-10	08:37:00	174359	2.4094	2.4270	0.0176	0.0000
2000-10-11	08:47:00	174360	2.4094	2.4270	0.0176	0.0000
2000-10-12	08:26:00	174361	2.4094	2.4270	0.0176	0.0000
2000-10-13	09:06:00	174362	2.4094	2.4270	0.0176	0.0000
2000-10-16	08:29:00	174363	2.4094	2.4270	0.0176	0.0000
2000-10-17	08:25:00	174364	2.4094	2.4270	0.0176	0.0000
2000-10-18	08:40:00	174365	2.4094	2.4270	0.0176	0.0000
2000-10-19	08:17:00	174366	2.4094	2.4270	0.0176	0.0000
2000-10-20	08:25:00	174367	2.4094	2.4270	0.0176	0.0000
2000-10-23	08:41:00	174368	2.4094	2.4270	0.0176	0.0000
2000-10-24	08:45:00	174369	2.4094	2.4270	0.0176	0.0000
2000-10-25	09:56:00	174370	2.4094	2.4270	0.0176	0.0000
2000-10-27	08:31:00	174371	2.4094	2.4270	0.0176	0.0000
2000-10-30	08:27:00	174372	2.4094	2.4270	0.0176	0.0000
2000-10-31	08:26:00	174373	2.4094	2.4270	0.0176	0.0000
2000-11-02	08:38:00	174374	2.4094	2.4270	0.0176	0.0000
2000-11-03	08:26:00	174375	2.4094	2.4270	0.0176	0.0000
2000-11-06	08:31:00	174376	2.4094	2.4270	0.0176	0.0000
2000-11-07	08:26:00	174377	2.4094	2.4270	0.0176	0.0000
2000-11-08	08:30:00	174378	2.4094	2.4270	0.0176	0.0000
2000-11-09	08:17:00	174379	2.4094	2.4270	0.0176	0.0000
2000-11-10	08:21:00	174380	2.4094	2.4270	0.0176	0.0000
2000-11-13	08:45:00	174381	2.4094	2.4270	0.0176	0.0000
2000-11-14	08:15:00	174382	2.4094	2.4270	0.0176	0.0000
2000-11-15	08:20:00	174383	2.4094	2.4270	0.0176	0.0000
2000-11-16	08:21:00	174384	2.4094	2.4270	0.0176	0.0000
2000-11-20	08:31:00	174385	2.4094	2.4270	0.0176	0.0000
2000-11-21	08:44:00	174386	2.4094	2.4270	0.0176	0.0000
2000-11-22	08:30:00	174387	2.4094	2.4270	0.0176	0.0000
2000-11-23	08:10:00	174388	2.4094	2.4270	0.0176	0.0000
2000-11-27	08:33:00	174389	2.4094	2.4270	0.0176	0.0000
2000-11-28	08:27:00	174390	2.4094	2.4270	0.0176	0.0000
2000-11-29	08:33:00	174391	2.4094	2.4270	0.0176	0.0000
2000-11-30	08:13:00	174392	2.4094	2.4270	0.0176	0.0000
2000-12-04	08:24:00	174393	2.4094	2.4270	0.0176	0.0000
2000-12-05	10:28:00	174394	2.4094	2.4270	0.0176	0.0000
2000-12-06	08:20:00	174395	2.4094	2.4270	0.0176	0.0000
2000-12-07	08:26:00	174396	2.4094	2.4270	0.0176	0.0000
2000-12-11	08:27:00	174397	2.4094	2.4270	0.0176	0.0000
2000-12-12	08:37:00	174398	2.4094	2.4270	0.0176	0.0000
2000-12-13	08:40:00	174399	2.4094	2.4270	0.0176	0.0000
2000-12-14	08:40:00	174400	2.4094	2.4270	0.0176	0.0000
2000-12-15	08:22:00	174402	2.4094	2.4270	0.0176	0.0000
2000-12-18	09:03:00	174403	2.4094	2.4270	0.0176	0.0000
2000-12-19	08:29:00	174405	2.4094	2.4270	0.0176	0.0000
2000-12-20	08:26:00	174407	2.4094	2.4270	0.0176	0.0000
2000-12-21	08:42:00	174409	2.4094	2.4270	0.0176	0.0000
2000-12-22	08:21:00	174410	2.4094	2.4270	0.0176	0.0000
2000-12-27	09:13:00	174412	2.4094	2.4270	0.0176	0.0000
2000-12-28	08:42:00	174413	2.4094	2.4270	0.0176	0.0000
2001-01-02	08:29:00	174415	2.4094	2.4270	0.0176	0.0000
2001-01-03	08:20:00	174417	2.4094	2.4270	0.0176	0.0000
2001-01-04	08:26:00	174419	2.4094	2.4270	0.0176	0.0000
2001-01-05	08:25:00	174420	2.4094	2.4270	0.0176	0.0000
2001-01-08	09:18:00	174421	2.4094	2.4270	0.0176	0.0000
2001-01-09	08:23:00	174423	2.4094	2.4270	0.0176	0.0000
2001-01-10	08:32:00	174425	2.4094	2.4270	0.0176	0.0000
2001-01-11	08:24:00	174427	2.4094	2.4270	0.0176	0.0000
2001-01-12	08:30:00	174429	2.4094	2.4270	0.0176	0.0000
2001-01-15	10:23:00	174432	2.4094	2.4270	0.0176	0.0000
2001-01-16	08:37:00	174434	2.4094	2.4270	0.0176	0.0000
2001-01-17	08:27:00	174436	2.4094	2.4270	0.0176	0.0000
2001-01-18	08:31:00	174438	2.4094	2.4270	0.0176	0.0000
2001-01-19	09:17:00	174440	2.4094	2.4270	0.0176	0.0000
2001-01-22	09:40:00	174443	2.4094	2.4270	0.0176	0.0000
2001-01-23	08:46:00	174444	2.4094	2.4270	0.0176	0.0000
2001-01-24	09:27:00	174446	2.4796	2.5370	0.0574	0.0000
2001-01-25	09:13:00	174451	2.4796	2.5370	0.0574	0.0000
2001-01-26	08:40:00	174468	2.4757	2.5325	0.0568	0.0000
2001-01-29	08:48:00	174477	2.4757	2.5325	0.0568	0.0000
2001-01-30	08:49:00	174488	2.4752	2.5290	0.0538	0.0000
2001-01-31	08:45:00	174494	2.4683	2.5245	0.0562	0.0000
2001-02-01	08:58:00	174509	2.4673	2.5243	0.0570	0.0000
2001-02-02	08:27:00	174521	2.4495	2.5061	0.0566	0.0000
2001-02-05	08:33:00	174544	2.4206	2.4778	0.0572	0.0000
2001-02-06	08:23:00	174562	2.3784	2.5527	0.1743	0.0000
2001-02-07	08:11:00	174581	2.4257	2.4820	0.0563	0.0000
2001-02-08	08:20:00	174596	2.4247	2.4814	0.0567	0.0000
2001-02-09	08:18:00	174616	2.4271	2.5476	0.1205	0.0000
2001-02-12	08:26:00	174638	2.4258	2.5468	0.1210	0.0000
2001-02-13	08:16:00	174662	2.4009	2.5230	0.1221	0.0000
2001-02-14	08:17:00	174683	2.4223	2.4781	0.0558	0.0000
2001-02-15	08:11:00	174699	2.4176	2.4733	0.0557	0.0000
2001-02-16	08:23:00	174715	2.4070	2.4621	0.0551	0.0000
2001-02-19	08:14:00	174733	2.3966	2.4553	0.0587	0.0000
2001-02-20	08:25:00	174749	2.3930	2.5142	0.1212	0.0000
2001-02-21	08:14:00	174770	2.3670	2.4859	0.1189	0.0000
2001-02-22	08:44:00	174791	2.4180	2.5019	0.0839	0.0000
2001-02-23	08:21:00	174810	2.3911	2.5099	0.1188	0.0000
2001-02-26	08:18:00	174828	2.4395	2.4987	0.0592	0.0000
2001-02-27	08:35:00	174839	2.4123	2.4686	0.0563	0.0000
2001-02-28	08:15:00	174857	2.4107	2.4663	0.0556	0.0000
2001-03-01	08:20:00	174876	2.3986	2.4565	0.0579	0.0000
