Data	Godzina	Kupno	Sprzeda¿	Spread	Kurs œredni
2006-02-01	12:00:00	2.3804	2.5029	0.1225	2.4505
2006-02-01	08:30:00	2.4084	2.5316	0.1232	2.4638
2006-02-02	08:30:00	2.3961	2.5191	0.1230	2.4608
2006-02-03	08:30:00	2.4005	2.5236	0.1231	2.4620
2006-02-06	12:00:00	2.3925	2.5151	0.1227	2.4538
2006-02-06	08:30:00	2.4128	2.5359	0.1231	2.4620
2006-02-07	08:30:00	2.3940	2.5168	0.1228	2.4554
2006-02-08	12:00:00	2.4021	2.5253	0.1232	2.4637
2006-02-08	08:30:00	2.3891	2.5119	0.1228	2.4554
2006-02-09	08:30:00	2.3977	2.5204	0.1227	2.4541
2006-02-10	12:00:00	2.3757	2.4975	0.1218	2.4366
2006-02-10	08:30:00	2.4112	2.5339	0.1227	2.4541
2006-02-13	08:30:00	2.3760	2.4978	0.1218	2.4369
2006-02-14	08:30:00	2.3780	2.5000	0.1220	2.4390
2006-02-15	12:00:00	2.3724	2.4938	0.1214	2.4282
2006-02-15	08:30:00	2.3829	2.5049	0.1220	2.4390
2006-02-16	12:00:00	2.3564	2.4772	0.1208	2.4168
2006-02-16	08:30:00	2.3796	2.5010	0.1214	2.4282
2006-02-17	08:30:00	2.3520	2.4726	0.1206	2.4123
2006-02-20	12:00:00	2.3448	2.4650	0.1202	2.4049
2006-02-20	08:30:00	2.3568	2.4774	0.1206	2.4123
2006-02-21	12:00:00	2.3606	2.4816	0.1211	2.4211
2006-02-21	08:30:00	2.3328	2.4530	0.1202	2.4049
2006-02-22	12:00:00	2.3830	2.5052	0.1222	2.4441
2006-02-22	08:30:00	2.3436	2.4647	0.1211	2.4211
2006-02-23	12:00:00	2.3660	2.4874	0.1213	2.4267
2006-02-23	08:30:00	2.3952	2.5174	0.1222	2.4441
2006-02-24	12:00:00	2.3654	2.4868	0.1213	2.4261
2006-02-24	08:30:00	2.3588	2.4801	0.1213	2.4267
2006-02-27	12:00:00	2.3440	2.4644	0.1205	2.4090
2006-02-27	08:30:00	2.3727	2.4940	0.1213	2.4261
2006-02-28	12:00:00	2.3498	2.4704	0.1205	2.4101
2006-02-28	08:30:00	2.3488	2.4692	0.1205	2.4090
2006-03-01	08:30:00	2.3558	2.4766	0.1208	2.4162
2006-03-02	08:30:00	2.3488	2.4692	0.1205	2.4090
2006-03-03	12:00:00	2.3750	2.4968	0.1218	2.4359
2006-03-03	08:30:00	2.3367	2.4572	0.1205	2.4090
2006-03-06	12:00:00	2.3809	2.5032	0.1223	2.4457
2006-03-06	08:30:00	2.3653	2.4871	0.1218	2.4359
2006-03-07	12:00:00	2.4046	2.5283	0.1237	2.4739
2006-03-07	08:30:00	2.3650	2.4873	0.1223	2.4457
2006-03-08	12:00:00	2.4162	2.5402	0.1239	2.4782
2006-03-08	08:30:00	2.4121	2.5357	0.1237	2.4739
2006-03-09	12:00:00	2.4182	2.5422	0.1240	2.4802
2006-03-09	08:30:00	2.4088	2.5327	0.1239	2.4782
2006-03-10	08:30:00	2.4148	2.5391	0.1242	2.4844
2006-03-13	12:00:00	2.4031	2.5271	0.1240	2.4800
2006-03-13	08:30:00	2.4273	2.5515	0.1242	2.4844
2006-03-14	12:00:00	2.4256	2.5513	0.1257	2.5136
2006-03-14	08:30:00	2.3932	2.5172	0.1240	2.4800
2006-03-15	12:00:00	2.4139	2.5377	0.1238	2.4758
2006-03-15	08:30:00	2.4809	2.6066	0.1257	2.5136
2006-03-16	08:30:00	2.4174	2.5414	0.1240	2.4794
2006-03-17	12:00:00	2.3784	2.5004	0.1220	2.4394
2006-03-17	08:30:00	2.4472	2.5711	0.1240	2.4794
2006-03-20	12:00:00	2.4107	2.5343	0.1236	2.4725
2006-03-20	08:30:00	2.3418	2.4638	0.1220	2.4394
2006-03-21	08:30:00	2.4178	2.5418	0.1240	2.4798
2006-03-22	12:00:00	2.4296	2.5542	0.1246	2.4919
2006-03-22	08:30:00	2.4004	2.5244	0.1240	2.4798
2006-03-23	08:30:00	2.4087	2.5323	0.1235	2.4705
2006-03-24	12:00:00	2.7233	2.8629	0.1397	2.7931
2006-03-24	08:30:00	2.3914	2.5150	0.1235	2.4705
2006-03-27	12:00:00	2.4037	2.5273	0.1236	2.4729
2006-03-27	08:30:00	2.4280	2.5517	0.1238	2.4750
2006-03-28	12:00:00	2.4445	2.5699	0.1254	2.5072
2006-03-28	08:30:00	2.3814	2.5050	0.1236	2.4729
2006-03-29	12:00:00	2.4552	2.5812	0.1259	2.5182
2006-03-29	08:30:00	2.4245	2.5498	0.1254	2.5072
2006-03-30	12:00:00	2.4356	2.5605	0.1249	2.4980
2006-03-30	08:30:00	2.4729	2.5988	0.1259	2.5182
2006-03-31	08:30:00	2.4290	2.5536	0.1246	2.4913
2006-04-03	08:30:00	2.4220	2.5462	0.1242	2.4841
2006-04-04	08:30:00	2.4293	2.5539	0.1246	2.4916
2006-04-05	12:00:00	2.4574	2.5834	0.1260	2.5204
2006-04-05	08:30:00	2.4069	2.5315	0.1246	2.4916
2006-04-06	08:30:00	2.4610	2.5872	0.1262	2.5241
2006-04-07	12:00:00	2.4609	2.5792	0.1183	2.5163
2006-04-07	08:30:00	2.4686	2.5948	0.1262	2.5241
2006-04-10	08:30:00	2.4454	2.5711	0.1257	2.5133
2006-04-11	12:00:00	2.4522	2.5774	0.1252	2.5048
2006-04-11	08:30:00	2.4505	2.5761	0.1257	2.5133
2006-04-12	12:00:00	2.4292	2.5538	0.1246	2.4915
2006-04-12	08:30:00	2.4572	2.5824	0.1252	2.5048
2006-04-13	12:00:00	2.4442	2.5696	0.1253	2.5069
2006-04-13	08:30:00	2.4217	2.5463	0.1246	2.4915
2006-04-14	08:30:00	2.4394	2.5644	0.1251	2.5019
2006-04-17
2006-04-18	12:00:00	2.4434	2.5688	0.1253	2.5061
2006-04-18	08:30:00	2.4469	2.5720	0.1251	2.5019
2006-04-19	12:00:00	2.4261	2.5505	0.1244	2.4883
2006-04-19	08:30:00	2.4660	2.5913	0.1253	2.5061
2006-04-20	08:30:00	2.4172	2.5412	0.1240	2.4792
2006-04-21	08:30:00	2.4053	2.5287	0.1234	2.4670
2006-04-24	12:00:00	2.3966	2.5196	0.1229	2.4581
2006-04-24	08:30:00	2.4177	2.5410	0.1234	2.4670
2006-04-25	08:30:00	2.3950	2.5178	0.1228	2.4564
2006-04-26	12:00:00	2.3939	2.5171	0.1231	2.4629
2006-04-26	08:30:00	2.3803	2.5031	0.1228	2.4564
2006-04-27	12:00:00	2.3799	2.5022	0.1223	2.4459
2006-04-27	08:30:00	2.4013	2.5245	0.1231	2.4629
2006-04-28	12:00:00	2.4004	2.5234	0.1231	2.4619
2006-04-28	08:30:00	2.3774	2.4997	0.1223	2.4459
2006-05-01
2006-05-02	08:30:00	2.4077	2.5311	0.1235	2.4694
2006-05-03
2006-05-04	12:00:00	2.3873	2.5097	0.1224	2.4485
2006-05-04	08:30:00	2.4225	2.5460	0.1235	2.4694
2006-05-05	12:00:00	2.3863	2.5087	0.1224	2.4475
2006-05-05	08:30:00	2.3946	2.5171	0.1224	2.4485
2006-05-08	12:00:00	2.3933	2.5161	0.1227	2.4547
2006-05-08	08:30:00	2.3937	2.5160	0.1224	2.4475
2006-05-09	12:00:00	2.3816	2.5044	0.1228	2.4553
2006-05-09	08:30:00	2.3811	2.5038	0.1227	2.4547
2006-05-10	12:00:00	2.4128	2.5363	0.1235	2.4696
2006-05-10	08:30:00	2.3841	2.5069	0.1228	2.4553
2006-05-11	12:00:00	2.3837	2.5059	0.1222	2.4448
2006-05-11	08:30:00	2.4153	2.5387	0.1235	2.4696
2006-05-12	12:00:00	2.4258	2.5504	0.1247	2.4931
2006-05-12	08:30:00	2.3690	2.4913	0.1222	2.4448
2006-05-15	12:00:00	2.4705	2.5971	0.1267	2.5338
2006-05-15	08:30:00	2.4009	2.5255	0.1247	2.4931
2006-05-16	12:00:00	2.4636	2.5900	0.1263	2.5268
2006-05-16	08:30:00	2.4781	2.6047	0.1267	2.5338
2006-05-17	12:00:00	2.4308	2.5558	0.1249	2.4983
2006-05-17	08:30:00	2.4965	2.6228	0.1263	2.5268
2006-05-18	12:00:00	2.4848	2.6122	0.1274	2.5485
2006-05-18	08:30:00	2.3809	2.5058	0.1249	2.4983
2006-05-19	08:30:00	2.4635	2.5901	0.1266	2.5319
